Tema;Tese
59;A Lei nº 11.464/07, que majorou o tempo necessário para progressão no cumprimento da pena, não se aplica a situações jurídicas que retratem crime hediondo ou equiparado cometido em momento anterior à respectiva vigência.
154;Qualquer decisão do Poder Judiciário que rejeite denúncia, que impronuncie ou absolva, sumariamente, os réus ou, ainda, que ordene a extinção, em sede de “habeas corpus”, de procedimentos penais não transgride o monopólio constitucional da ação penal pública (CF, art. 129, I) nem ofende os postulados do juiz natural (CF, art. 5º, inciso LIII) e da soberania do veredicto do Júri (CF, art. 5º, inciso XXXVIII, “c”).
170;Não viola o postulado constitucional do juiz natural o julgamento de apelação por órgão composto majoritariamente por juízes convocados, autorizado no âmbito da Justiça Federal pela Lei 9.788/1999.
184;O Ministério Público dispõe de competência para promover, por autoridade própria, e por prazo razoável, investigações de natureza penal, desde que respeitados os direitos e garantias que assistem a qualquer indiciado ou a qualquer pessoa sob investigação do Estado, observadas, sempre, por seus agentes, as hipóteses de reserva constitucional de jurisdição e, também, as prerrogativas profissionais de que se acham investidos, em nosso País, os Advogados (Lei 8.906/1994, art. 7º, notadamente os incisos I, II, III, XI, XIII, XIV e XIX), sem prejuízo da possibilidade – sempre presente no Estado democrático de Direito – do permanente controle jurisdicional dos atos, necessariamente documentados (Súmula Vinculante 14), praticados pelos membros dessa Instituição.
238;A homologação da transação penal prevista no artigo 76 da Lei 9.099/1995 não faz coisa julgada material e, descumpridas suas cláusulas, retoma-se a situação anterior, possibilitando-se ao Ministério Público a continuidade da persecução penal mediante oferecimento de denúncia ou requisição de inquérito policial.
240;Inexiste nulidade pela ausência, em oitiva de testemunha por carta precatória, de réu preso que não manifestou expressamente intenção de participar da audiência.
280;A entrada forçada em domicílio sem mandado judicial só é lícita, mesmo em período noturno, quando amparada em fundadas razões, devidamente justificadas a posteriori, que indiquem que dentro da casa ocorre situação de flagrante delito, sob pena de responsabilidade disciplinar, civil e penal do agente ou da autoridade, e de nulidade dos atos praticados.
358;A competência constitucional do tribunal para decidir sobre a perda do posto e da patente dos oficiais e da graduação das praças é específica, nos termos do artigo 125, § 4º, não autorizando a concessão de reforma de policial militar julgado inapto a permanecer nas fileiras da corporação.
393;Compete à Justiça Federal processar e julgar os crimes consistentes em disponibilizar ou adquirir material pornográfico, acessível transnacionalmente, envolvendo criança ou adolescente, quando praticados por meio da rede mundial de computadores (arts. 241, 241-A e 241-B da Lei nº 8.069/1990).
423;"I - A falta de estabelecimento penal adequado não autoriza a manutenção do condenado em regime prisional mais gravoso; II - Os juízes da execução penal poderão avaliar os estabelecimentos destinados aos regimes semiaberto e aberto, para qualificação como adequados a tais regimes. São aceitáveis estabelecimentos que não se qualifiquem como “colônia agrícola, industrial” (regime semiaberto) ou “casa de albergado ou estabelecimento adequado” (regime aberto) (art. 33, §1º, alíneas “b” e “c”); III - Havendo déficit de vagas, deverá determinar-se: (i) a saída antecipada de sentenciado no regime com falta de vagas; (ii) a liberdade eletronicamente monitorada ao sentenciado que sai antecipadamente ou é posto em prisão domiciliar por falta de vagas; (iii) o cumprimento de penas restritivas de direito e/ou estudo ao sentenciado que progride ao regime aberto. Até que sejam estruturadas as medidas alternativas propostas, poderá ser deferida a prisão domiciliar ao sentenciado."
453;O foro especial por prerrogativa de função não se estende a magistrados aposentados.
477;1. A revogação ou modificação do ato normativo em que se fundou a edição de enunciado de súmula vinculante acarreta, em regra, a necessidade de sua revisão ou cancelamento pelo Supremo Tribunal Federal, conforme o caso. 2. É constitucional a previsão legislativa de perda dos dias remidos pelo condenado que comete falta grave no curso da execução penal
580;Compete à Justiça Federal processar e julgar o crime de violação de direito autoral de caráter transnacional.
613;1. É constitucional a citação por hora certa, prevista no art. 362, do Código de Processo Penal. 2. A ocultação do réu para ser citado infringe cláusulas constitucionais do devido processo legal e viola as garantias constitucionais do acesso à justiça e da razoável duração do processo.
648;Compete à Justiça Federal processar e julgar o crime ambiental de caráter transnacional que envolva animais silvestres, ameaçados de extinção e espécimes exóticas ou protegidas por compromissos internacionais assumidos pelo Brasil.
661;São lícitas as sucessivas renovações de interceptação telefônica, desde que, verificados os requisitos do artigo 2º da Lei nº 9.296/1996 e demonstrada a necessidade da medida diante de elementos concretos e a complexidade da investigação, a decisão judicial inicial e as prorrogações sejam devidamente motivadas, com justificativa legítima, ainda que sucinta, a embasar a continuidade das investigações.
703;O art. 47 da Lei nº 6.880/80 foi recepcionado pela Constituição Federal de 1988, sendo válidos, por conseguinte, os incisos IV e V do art. 24 do Decreto nº 4.346/02, os quais não ofendem o princípio da reserva legal.
941;A oitiva do condenado pelo Juízo da Execução Penal, em audiência de justificação realizada na presença do defensor e do Ministério Público, afasta a necessidade de prévio Procedimento Administrativo Disciplinar (PAD), assim como supre eventual ausência ou insuficiência de defesa técnica no PAD instaurado para apurar a prática de falta grave durante o cumprimento da pena.
977;1. A mera apreensão do aparelho celular, nos termos do art. 6º do CPP ou em flagrante delito, não está sujeita à reserva de jurisdição. Contudo, o acesso aos dados nele contidos deve observar as seguintes condicionantes: 1.1 Nas hipóteses de encontro fortuito de aparelho celular, o acesso aos respectivos dados para o fim exclusivo de esclarecer a autoria do fato supostamente criminoso, ou de quem seja o seu proprietário, não depende de consentimento ou de prévia decisão judicial, desde que justificada posteriormente a adoção da medida. 1.2. Em se tratando de aparelho celular apreendido na forma do art. 6º do CPP ou por ocasião da prisão em flagrante, o acesso aos respectivos dados será condicionado ao consentimento expresso e livre do titular dos dados ou de prévia decisão judicial (cf. art. 7º, inciso III, e art. 10, § 2º, da Lei nº 12.965/2014) que justifique, com base em elementos concretos, a proporcionalidade da medida e delimite sua abrangência à luz de direitos fundamentais à intimidade, à privacidade, à proteção dos dados pessoais e à autodeterminação informacional, inclusive nos meios digitais (art. 5º, X e LXXIX, CRFB/88). Nesses casos, a celeridade se impõe, devendo a Autoridade Policial atuar com a maior rapidez e eficiência possíveis e o Poder Judiciário conferir tramitação e apreciação prioritárias aos pedidos dessa natureza, inclusive em regime de plantão. 2. A autoridade policial poderá adotar as providências necessárias para a preservação dos dados e metadados contidos no aparelho celular apreendido, antes da autorização judicial, justificando, posteriormente, as razões de referido acesso. 3. As teses acima enunciadas só produzirão efeitos prospectivos, ressalvados os pedidos eventualmente formulados por defesas até a data do encerramento do presente julgamento.
990;1. É constitucional o compartilhamento dos relatórios de inteligência financeira da UIF e da íntegra do procedimento fiscalizatório da Receita Federal do Brasil, que define o lançamento do tributo, com os órgãos de persecução penal para fins criminais, sem a obrigatoriedade de prévia autorização judicial, devendo ser resguardado o sigilo das informações em procedimentos formalmente instaurados e sujeitos a posterior controle jurisdicional. 2. O compartilhamento pela UIF e pela RFB, referente ao item anterior, deve ser feito unicamente por meio de comunicações formais, com garantia de sigilo, certificação do destinatário e estabelecimento de instrumentos efetivos de apuração e correção de eventuais desvios.
998;"1. Em visitas sociais nos presídios ou estabelecimentos de segregação é inadmissível a revista íntima vexatória com o desnudamento de visitantes ou exames invasivos com finalidade de causar humilhação. A prova obtida por esse tipo de revista é ilícita, salvo decisões judiciais em cada caso concreto. A presente decisão tem efeitos prospectivos a partir da publicação da ata do julgamento. 2. A autoridade administrativa, de forma fundamentada e por escrito, tem o poder de não permitir a visita diante da presença de indício robusto de ser a pessoa visitante portadora de qualquer item corporal oculto ou sonegado, especialmente de material proibido, como produtos ilegais, drogas ou objetos perigosos. São considerados robustos indícios embasados em elementos tangíveis e verificáveis, como informações prévias de inteligência, denúncias, e comportamentos suspeitos. 3. Confere-se o prazo de 24 meses, a contar da data deste julgamento, para aquisição e instalação de equipamentos como scanners corporais, esteiras de raio X e portais detectores de metais em todos os estabelecimentos penais. 4. Fica determinado ao Ministério da Justiça e da Segurança Pública e aos Estados que, por meio dos recursos do Fundo Penitenciário Nacional e do Fundo Nacional de Segurança Pública, promovam a aquisição ou locação, e distribuição de scanners corporais para as unidades prisionais, em conformidade com sua atribuição de coordenação nacional da política penitenciária, assegurando a proteção dos servidores, a integridade dos detentos e a dignidade dos visitantes, prevenindo práticas abusivas e ilícitas, sem interferir na autonomia dos entes federativos, e garantindo a aplicação uniforme das diretrizes de segurança penitenciária no país. 5. Devem os entes federados, no âmbito de suas atribuições, garantir que a aquisição ou locação de scanners corporais para as unidades prisionais esteja contemplada no respectivo planejamento administrativo e orçamento, com total prioridade na aplicação dos recursos. 6. Excepcionalmente, na impossibilidade ou inefetividade de utilização do scanner corporal, esteira de raio-x, portais detectores de metais, a revista íntima para ingresso em estabelecimentos prisionais, diante de indícios robustos de suspeitas, tangíveis e verificáveis, deverá ser motivada para cada caso específico e dependerá da plena concordância do visitante, vedada, em qualquer circunstância, a execução da revista como forma de humilhação e de exposição vexatória; deve ser realizada em local adequado, exclusivo para tal verificação, e apenas em pessoas maiores e que possam emitir consentimento válido por si ou por meio de seu representante legal, de acordo com protocolos gerais e nacionais preestabelecidos e por pessoas do mesmo gênero do visitante, preferencialmente por profissionais de saúde, nas hipóteses de desnudamento e exames invasivos. (i) O excesso ou o abuso da realização da revista íntima acarretarão responsabilidade do agente público ou do profissional de saúde habilitado e ilicitude de eventual prova obtida. (ii) Caso não haja concordância do visitante, a autoridade administrativa poderá, de forma fundamentada e por escrito, impedir a realização da visita. (iii) O procedimento de revista em criança, adolescente ou pessoa com deficiência intelectual que não possa emitir consentimento válido será substituído pela revista invertida, direcionada à pessoa a ser visitada."
1041;"(1) Sem autorização judicial ou fora das hipóteses legais, é ilícita a prova obtida mediante abertura de carta, telegrama, pacote ou meio análogo, salvo se ocorrida em estabelecimento penitenciário, quando houver fundados indícios da prática de atividades ilícitas; (2) Em relação a abertura de encomenda postada nos Correios, a prova obtida somente será lícita quando houver fundados indícios da prática de atividade ilícita, formalizando-se as providências adotadas para fins de controle administrativo ou judicial."
1068;A soberania dos veredictos do Tribunal do Júri autoriza a imediata execução de condenação imposta pelo corpo de jurados, independentemente do total da pena aplicada.
1087;1. É cabível recurso de apelação com base no artigo 593, III, d, do Código de Processo Penal, nas hipóteses em que a decisão do Tribunal do Júri, amparada em quesito genérico, for considerada pela acusação como manifestamente contrária à prova dos autos. 2. O Tribunal de Apelação não determinará novo Júri quando tiver ocorrido a apresentação, constante em Ata, de tese conducente à clemência ao acusado, e esta for acolhida pelos jurados, desde que seja compatível com a Constituição, os precedentes vinculantes do Supremo Tribunal Federal e com as circunstâncias fáticas apresentadas nos autos.
1190;"A suspensão dos direitos políticos prevista no artigo 15, III, da Constituição Federal (""condenação criminal transitada em julgado, enquanto durarem seus efeitos"") não impede a nomeação e posse de candidato aprovado em concurso público, desde que não incompatível com a infração penal praticada, em respeito aos princípios da dignidade da pessoa humana e do valor social do trabalho (CF, art. 1º, III e IV) e do dever do Estado em proporcionar as condições necessárias para a harmônica integração social do condenado, objetivo principal da execução penal, nos termos do artigo 1º da LEP (Lei nº 7.210/84). O início do efetivo exercício do cargo ficará condicionado ao regime da pena ou à decisão judicial do juízo de execuções, que analisará a compatibilidade de horários."
1267;É constitucional o indulto natalino do art. 5º, caput e parágrafo único, do Decreto Presidencial nº 11.302, de 22/12/2022.
